"Chinese","Traditional","Pinyin","Definition","Result"
"草","","cǎo ","grass  / straw  / manuscript  / draft (of a document)  / careless  / rough  / CL: 棵, 撮, 株, 根","True"
"太阳","太陽","tài yang ","sun  / CL: 個｜个 / abbr. for 太陽穴｜太阳穴","True"
"星星","","xīng xing ","star in the sky","True"
"阳","陽","yáng ","positive (electric.)  / sun  / male principle (Taoism)  / Yang, opposite: 陰｜阴 ☯","True"
"安静","安靜","ān jìng ","quiet  / peaceful  / calm","True"
"楼","樓","Lóu <br />lóu ","surname Lou<br />house with more than 1 story  / storied building  / floor  / CL: 層｜层, 座, 棟｜栋","True"
"静","靜","jìng ","still  / calm  / quiet  / not moving","True"
"声音","聲音","shēng yīn ","voice  / sound  / CL: 個｜个","True"
"影响","影響","yǐng xiǎng ","influence  / effect  / to influence  / to affect (usually adversely)  / to disturb  / CL: 股","True"
"邻居","鄰居","lín jū ","neighbor  / next door  / CL: 個｜个","True"
"声","聲","shēng ","sound  / voice  / tone  / noise  / classifier for sounds","True"
"邻","鄰","lín ","neighbor  / adjacent  / close to","True"
"响","響","xiǎng ","echo  / sound  / noise  / to make a sound  / to sound  / to ring  / loud  / classifier for noises","True"
"居","","Jū <br />jī <br />jū ","surname Ju<br />(archaic) sentence-final particle expressing a doubting attitude<br />to reside  / to be (in a certain position)  / to store up  / to be at a standstill  / residence  / house  / restaurant  / classifier for bedrooms","True"
"垃圾","","lā jī ","trash  / refuse  / garbage  / (coll.) of poor quality  / Taiwan pr. [le4 se4]","True"
"桶","","tǒng ","bucket  / (trash) can  / barrel (of oil etc)  / CL: 個｜个, 隻｜只","True"
"丢","丟","diū ","to lose  / to put aside  / to throw","True"
"脏","臟","zàng <br />zāng ","viscera  / (anatomy) organ<br />dirty  / filthy","True"
"垃","","lā ","see 垃圾 / Taiwan pr. [le4]","True"
"圾","","jī ","see 垃圾 / Taiwan pr. [se4]","True"
"先生","","Xiān sheng <br />xiān sheng ","Mister (Mr.)<br />teacher  / husband  / doctor (dialect)  / CL: 位","True"
"小姐","","xiǎo jie ","young lady  / miss  / (slang) prostitute  / CL: 個｜个, 位","True"
"经理","經理","jīng lǐ ","manager  / director  / CL: 個｜个, 位, 名","True"
"同事","","tóng shì ","colleague  / co-worker  / CL: 個｜个, 位","True"
"突然","","tū rán ","sudden  / abrupt  / unexpected","True"
"重要","","zhòng yào ","important  / significant  / major","True"
"会议","會議","huì yì ","meeting  / conference  / CL: 場｜场, 屆｜届","True"
"突","","tū ","to dash  / to move forward quickly  / to bulge  / to protrude  / to break through  / to rush out  / sudden  / Taiwan pr. [tu2]","True"
"重","","chóng <br />zhòng ","to repeat  / repetition  / again  / re-  / classifier: layer<br />heavy  / serious  / to attach importance to","True"
"议","議","yì ","to comment on  / to discuss  / to suggest","True"
"解决","解決","jiě jué ","to settle (a dispute)  / to resolve  / to solve  / to dispose of  / to dispatch","True"
"办法","辦法","bàn fǎ ","means  / method  / way (of doing sth)  / CL: 條｜条, 個｜个","True"
"相信","","xiāng xìn ","to be convinced (that sth is true)  / to believe  / to accept sth as true","True"
"决","決","jué ","to decide  / to determine  / to execute (sb)  / (of a dam etc) to breach or burst  / definitely  / certainly","True"
"解","","Xiè <br />jiě <br />jiè <br />xiè ","surname Xie<br />to divide  / to break up  / to split  / to separate  / to dissolve  / to solve  / to melt  / to remove  / to untie  / to loosen  / to open  / to emancipate  / to explain  / to understand  / to know  / a solution  / a dissection<br />to transport under guard<br />acrobatic display (esp. on horseback) (old)  / variant of 懈 and 邂 (old)","True"
"界","","jiè ","boundary  / scope  / extent  / circles  / group  / kingdom (taxonomy)","True"
"河","","hé ","river  / CL: 條｜条, 道","True"
"世","","Shì <br />shì ","surname Shi<br />life  / age  / generation  / era  / world  / lifetime  / epoch  / descendant  / noble","True"
"黄河","黃河","Huáng Hé ","Yellow River or Huang He","True"
"动物","動物","dòng wù ","animal  / CL: 隻｜只, 群, 個｜个","True"
"有名","","yǒu míng ","famous  / well-known","True"
"世界","","shì jiè ","world  / CL: 個｜个","True"
"长江","長江","Cháng Jiāng ","Yangtze River, or Chang Jiang","True"
"江","","Jiāng <br />jiāng ","surname Jiang<br />river  / CL: 條｜条, 道","True"
"多么","多麼","duō me ","how (wonderful etc)  / what (a great idea etc)  / however (difficult it may be etc)  / (in interrogative sentences) how (much etc)  / to what extent","True"
"熊猫","熊貓","xióng māo ","panda  / CL: 隻｜只","True"
"西安","","Xī ān ","Xi'an, sub-provincial city and capital of Shaanxi 陝西省｜陕西省 in northwest China  / see 西安區｜西安区","True"
"啊","","ā <br />á <br />ǎ <br />à <br />a ","interjection of surprise  / Ah!  / Oh!<br />interjection expressing doubt or requiring answer  / Eh?  / what?<br />interjection of surprise or doubt  / Eh?  / My!  / what's up?<br />interjection or grunt of agreement  / uhm  / Ah, OK  / expression of recognition  / Oh, it's you!<br />modal particle ending sentence, showing affirmation, approval, or consent","True"
"熊","","Xióng <br />xióng ","surname Xiong<br />bear  / to scold  / to rebuke  / brilliant light  / to shine brightly","True"
"长城","長城","Cháng chéng ","the Great Wall","True"
"故宫","故宮","Gù gōng <br />gù gōng ","the Forbidden City  / abbr. for 故宮博物院｜故宫博物院<br />former imperial palace","True"
"宫","宮","Gōng <br />gōng ","surname Gong<br />palace  / temple  / castration (as corporal punishment)  / first note in pentatonic scale","True"
"山","","Shān <br />shān ","surname Shan<br />mountain  / hill  / anything that resembles a mountain  / CL: 座 / bundled straw in which silkworms spin cocoons  / gable","True"
"者","","zhě ","(after a verb or adjective) one who (is) ...  / (after a noun) person involved in ...  / -er  / -ist  / (used after a number or 後｜后 or 前 to refer to sth mentioned previously)  / (used after a term, to mark a pause before defining the term)  / (old) (used at the end of a command)  / (old) this","True"
"爬","","pá ","to crawl  / to climb  / to get up or sit up","True"
"或","","huò ","maybe  / perhaps  / might  / possibly  / or","True"
"自行车","自行車","zì xíng chē ","bicycle  / bike  / CL: 輛｜辆","True"
"或者","","huò zhě ","or  / possibly  / maybe  / perhaps","True"
"爬山","","pá shān ","to climb a mountain  / to mountaineer  / hiking  / mountaineering","True"
"功夫","","gōng fu ","skill  / art  / kung fu  / labor  / effort","True"
"功","","gōng ","meritorious deed or service  / achievement  / result  / service  / accomplishment  / work (physics)","True"
"文化","","wén huà ","culture  / civilization  / cultural  / CL: 個｜个, 種｜种","True"
"历史","歷史","lì shǐ ","history  / CL: 門｜门, 段","True"
"兴趣","興趣","xìng qù ","interest (desire to know about sth)  / interest (thing in which one is interested)  / hobby  / CL: 個｜个","True"
"感兴趣","感興趣","gǎn xìng qù ","to be interested","True"
"历","曆","lì <br />lì ","calendar<br />to experience  / to undergo  / to pass through  / all  / each  / every  / history","True"
"趣","","qù ","interesting  / to interest","True"
"史","","Shǐ <br />shǐ ","surname Shi<br />history  / annals  / title of an official historian in ancient China","True"
"为了","為了","wèi le ","in order to  / for the purpose of  / so as to","True"
"特别","特別","tè bié ","especially  / special  / particular  / unusual","True"
"了解","","liǎo jiě <br />liǎo jiě ","to understand  / to realize  / to find out<br />to understand  / to realize  / to find out","True"
"麻将","麻將","má jiàng ","mahjong  / CL: 副","True"
"特","","tè ","special  / unique  / distinguished  / especially  / unusual  / very","True"
"麻","","Má <br />má ","surname Ma<br />generic name for hemp, flax etc  / hemp or flax fiber for textile materials  / sesame  / CL: 縷｜缕 / (of materials) rough or coarse  / pocked  / pitted  / to have pins and needles or tingling  / to feel numb","True"
"将","將","jiāng <br />jiàng <br />qiāng ","will  / shall  / to use  / to take  / to checkmate  / just a short while ago  / (introduces object of main verb, used in the same way as 把)<br />general  / commander-in-chief (military)  / king (chess piece)  / to command  / to lead<br />to desire  / to invite  / to request","True"
"顾","顧","Gù <br />gù ","surname Gu<br />to look after  / to take into consideration  / to attend to","True"
"死","","sǐ ","to die  / impassable  / uncrossable  / inflexible  / rigid  / extremely  / damned","True"
"闷","悶","mēn <br />mèn ","stuffy  / shut indoors  / to smother  / to cover tightly<br />bored  / depressed  / melancholy  / sealed  / airtight  / tightly closed","True"
"腿","","tuǐ <br />tuǐ ","leg  / CL: 條｜条<br />hip bone  / old variant of 腿","True"
"照顾","照顧","zhào gu ","to take care of  / to show consideration  / to attend to  / to look after","True"
"公斤","","gōng jīn ","kilogram (kg)","True"
"着急","著急","zháo jí ","to worry  / to feel anxious  / Taiwan pr. [zhao1 ji2]","True"
"瘦","","shòu ","thin  / to lose weight  / (of clothing) tight  / (of meat) lean  / (of land) unproductive","True"
"斤","","jīn ","catty  / (PRC) weight equal to 500 g  / (Tw) weight equal to 600 g  / (HK, Malaysia, Singapore) slightly over 604 g","True"
"急","","jí ","urgent  / pressing  / rapid  / hurried  / worried  / to make (sb) anxious","True"
"咳嗽","","ké sou ","to cough  / CL: 陣｜阵","True"
"抽烟","抽煙","chōu yān ","to smoke (a cigarette, tobacco)","True"
"咳","","hāi <br />ké ","sound of sighing<br />cough","True"
"嗽","","sòu ","cough","True"
"抽","","chōu ","to draw out  / to pull out from in between  / to remove part of the whole  / (of certain plants) to sprout or bud  / to whip or thrash","True"
"烟","煙","yān ","cigarette or pipe tobacco  / CL: 根 / smoke  / mist  / vapour  / CL: 縷｜缕 / tobacco plant  / (of the eyes) to be irritated by smoke","True"
"际","際","jì ","border  / edge  / boundary  / interval  / between  / inter-  / to meet  / time  / occasion  / to meet with (circumstances)","True"
"柜","","jǔ <br />guì ","Salix multinervis<br />cupboard  / cabinet  / wardrobe","True"
"转","轉","zhuǎi <br />zhuǎn <br />zhuàn ","see 轉文｜转文<br />to turn  / to change direction  / to transfer  / to forward (mail)<br />to revolve  / to turn  / to circle about  / to walk about  / classifier for revolutions (per minute etc): revs, rpm  / classifier for repeated actions","True"
"转机","轉機","zhuǎn jī ","(to take) a turn for the better  / to change planes","True"
"柜台","櫃檯","guì tái ","sales counter  / front desk  / bar  / (of markets, medicines etc) OTC (over-the-counter)","True"
"国际","國際","guó jì ","international","True"
"换钱","換錢","huàn qián ","to change money  / to sell","True"
"银行","銀行","yín háng ","bank  / CL: 家, 個｜个","True"
"充电","充電","chōng diàn ","to recharge batteries  / fig. to rest and recuperate","True"
"国内","國內","guó nèi ","domestic  / internal (to a country)  / civil","True"
"银","銀","yín ","silver  / silver-colored  / relating to money or currency","True"
"充","","chōng ","to fill  / to satisfy  / to fulfill  / to act in place of  / substitute  / sufficient  / full","True"
"内","內","nèi ","inside  / inner  / internal  / within  / interior","True"
"充值","","chōng zhí ","to recharge (money onto a card)","True"
"漫游","漫遊","màn yóu ","to travel around  / to roam  / (mobile telephony) roaming","True"
"电话卡","電話卡","diàn huà kǎ ","telephone card","True"
"值","","zhí ","value  / (to be) worth  / to happen to  / to be on duty","True"
"订房","訂房","dìng fáng ","to reserve a room","True"
"退房","","tuì fáng ","to check out of a hotel room","True"
"取消","","qǔ xiāo ","to cancel  / cancellation","True"
"导游","導遊","dǎo yóu ","tour guide  / guidebook  / to conduct a tour","True"
"取","","qǔ ","to take  / to get  / to choose  / to fetch","True"
"导","導","dǎo ","to transmit  / to lead  / to guide  / to conduct  / to direct","True"
"消","","xiāo ","to disappear  / to vanish  / to eliminate  / to spend (time)  / have to  / need","True"
"答","","dā <br />dá ","to answer  / to agree<br />reply  / answer  / return  / respond  / echo","True"
"句","","jù ","sentence  / clause  / phrase  / classifier for phrases or lines of verse","True"
"简","簡","jiǎn ","simple  / uncomplicated  / letter  / to choose  / to select  / bamboo strips used for writing (old)","True"
"简单","簡單","jiǎn dān ","simple  / not complicated","True"
"句子","","jù zi ","sentence  / CL: 個｜个","True"
"回答","","huí dá ","to reply  / to answer  / the answer  / CL: 個｜个","True"
"词典","詞典","cí diǎn ","dictionary (of Chinese compound words)  / also written 辭典｜辞典 / CL: 部, 本","True"
"应用","應用","yìng yòng ","to use  / to apply  / application  / applicable","True"
"语法","語法","yǔ fǎ ","grammar","True"
"流利","","liú lì ","fluent","True"
"词","詞","cí ","word  / statement  / speech  / lyrics  / CL: 組｜组, 個｜个 / a form of lyric poetry, flourishing in the Song dynasty 宋朝 / CL: 首","True"
"流","","liú ","to flow  / to disseminate  / to circulate or spread  / to move or drift  / to degenerate  / to banish or send into exile  / stream of water or sth resembling one  / class, rate or grade","True"
"典","","diǎn ","canon  / law  / standard work of scholarship  / literary quotation or allusion  / ceremony  / to be in charge of  / to mortgage or pawn","True"
"下载","下載","xià zǎi ","to download  / also pr. [xia4 zai4]","True"
"多邻国","","duō lín guó","duolingo","False"
"翻译","翻譯","fān yì ","to translate  / to interpret  / translator  / interpreter  / translation  / interpretation  / CL: 個｜个, 位, 名","True"
"翻","","fān ","to turn over  / to flip over  / to overturn  / to rummage through  / to translate  / to decode  / to double  / to climb over or into  / to cross","True"
"载","載","zǎi <br />zài ","to record in writing  / to carry (i.e. publish in a newspaper etc)  / Taiwan pr. [zai4]  / year<br />to carry  / to convey  / to load  / to hold  / to fill up  / and  / also  / as well as  / simultaneously","True"
"译","譯","yì ","to translate  / to interpret","True"
"把","","bǎ <br />bà ","to hold  / to contain  / to grasp  / to take hold of  / handle  / particle marking the following noun as a direct object  / classifier for objects with handle  / classifier for small objects: handful<br />handle","True"
"灯","燈","dēng ","lamp  / light  / lantern  / CL: 盞｜盏","True"
"空调","空調","kōng tiáo ","air conditioning  / air conditioner (including units that have a heating mode)  / CL: 臺｜台","True"
"画","畫","huà ","to draw  / picture  / painting  / CL: 幅, 張｜张 / classifier for paintings etc  / variant of 劃｜划","True"
"厨房","廚房","chú fáng ","kitchen  / CL: 間｜间","True"
"客厅","客廳","kè tīng ","drawing room (room for arriving guests)  / living room  / CL: 間｜间","True"
"厨","廚","chú ","kitchen","True"
"厅","廳","tīng ","(reception) hall  / living room  / office  / provincial government department","True"
"客人","","kè rén ","visitor  / guest  / customer  / client  / CL: 位","True"
"打扫","打掃","dǎ sǎo ","to clean  / to sweep","True"
"干净","乾淨","gān jìng ","clean  / neat","True"
"扫","掃","sǎo <br />sào ","to sweep<br />broom","True"
"净","淨","jìng ","clean  / completely  / only  / net (income, exports etc)  / (Chinese opera) painted face male role","True"
"电梯","電梯","diàn tī ","elevator  / escalator  / CL: 臺｜台, 部","True"
"坏","壞","huài ","bad  / spoiled  / broken  / to break down  / (suffix) to the utmost","True"
"被","","bèi ","quilt  / by  / (indicates passive-voice clauses)  / (literary) to cover  / to meet with","True"
"厕所","廁所","cè suǒ ","toilet  / lavatory  / CL: 間｜间, 處｜处","True"
"厕","廁","cè <br />sì ","restroom  / toilet  / lavatory<br />see 茅廁｜茅厕","True"
"梯","","tī ","ladder  / stairs","True"
"寒","","hán ","cold  / poor  / to tremble","True"
"暑","","shǔ ","heat  / hot weather  / summer heat","True"
"复","復","fù <br />fù ","to go and return  / to return  / to resume  / to return to a normal or original state  / to repeat  / again  / to recover  / to restore  / to turn over  / to reply  / to answer  / to reply to a letter  / to retaliate  / to carry out<br />to repeat  / to double  / to overlap  / complex (not simple)  / compound  / composite  / double  / diplo-  / duplicate  / overlapping  / to duplicate","True"
"记得","記得","jì de ","to remember","True"
"复习","復習","fù xí ","to review  / revision  / CL: 次","True"
"数学","數學","shù xué ","mathematics  / mathematical","True"
"放假","","fàng jià ","to have a holiday or vacation","True"
"暑假","","shǔ jià ","summer vacation  / CL: 個｜个","True"
"寒假","","hán jià ","winter vacation","True"
"终于","終於","zhōng yú ","at last  / in the end  / finally  / eventually","True"
"结束","結束","jié shù ","termination  / to finish  / to end  / to conclude  / to close","True"
"放松","放鬆","fàng sōng ","to loosen  / to relax","True"
"大学","大學","Dà xué <br />dà xué ","the Great Learning, one of the Four Books 四書｜四书 in Confucianism<br />university  / college  / CL: 所","True"
"终","終","zhōng ","end  / finish","True"
"于","","Yú <br />yú <br />yú ","surname Yu<br />to go  / to take  / sentence-final interrogative particle  / variant of 於｜于<br />in  / at  / to  / from  / by  / than  / out of","True"
"束","","Shù <br />shù ","surname Shu<br />to bind  / bunch  / bundle  / classifier for bunches, bundles, beams of light etc  / to control","True"
"成绩","成績","chéng jì ","achievement  / performance records  / grades  / CL: 項｜项, 個｜个","True"
"担心","擔心","dān xīn ","anxious  / worried  / uneasy  / to worry  / to be anxious","True"
"专业","專業","zhuān yè ","specialty  / specialized field  / main field of study (at university)  / major  / CL: 門｜门, 個｜个 / professional","True"
"担","擔","dān <br />dàn ","to undertake  / to carry  / to shoulder  / to take responsibility<br />picul (100 catties, 50 kg)  / two buckets full  / carrying pole and its load  / classifier for loads carried on a shoulder pole","True"
"专","專","zhuān ","for a particular person, occasion, purpose  / focused on one thing  / special  / expert  / particular (to sth)  / concentrated  / specialized","True"
"绩","績","jì ","to spin (hemp etc)  / merit  / accomplishment  / Taiwan pr. [ji1]","True"
"景","","Jǐng <br />jǐng ","surname Jing<br />bright  / circumstance  / scenery","True"
"街","","jiē ","street  / CL: 條｜条","True"
"地图","地圖","dì tú ","map  / CL: 張｜张, 本","True"
"街道","","jiē dào ","street  / CL: 條｜条 / subdistrict  / residential district","True"
"红绿灯","紅綠燈","hóng lǜ dēng ","traffic light  / traffic signal","True"
"风景","風景","fēng jǐng ","scenery  / landscape  / CL: 個｜个","True"
"司机","司機","sī jī ","chauffeur  / driver  / CL: 個｜个","True"
"接","","jiē ","to receive  / to answer (the phone)  / to meet or welcome sb  / to connect  / to catch  / to join  / to extend  / to take one's turn on duty  / to take over for sb","True"
"免费","免費","miǎn fèi ","free (of charge)","True"
"打车","打車","dǎ chē ","to take a taxi (in town)  / to hitch a lift","True"
"观光","觀光","guān guāng ","to tour  / sightseeing  / tourism","True"
"免","","miǎn ","to excuse sb  / to exempt  / to remove or dismiss from office  / to avoid  / to avert  / to escape  / to be prohibited","True"
"观","觀","Guàn <br />guān <br />guàn ","surname Guan<br />to look at  / to watch  / to observe  / to behold  / to advise  / concept  / point of view  / outlook<br />Taoist monastery  / palace gate watchtower  / platform","True"
"光","","guāng ","light  / ray  / CL: 道 / bright  / only  / merely  / to use up","True"
"小心","","xiǎo xīn ","to be careful  / to take care","True"
"时差","時差","shí chā ","time difference  / time lag  / jet lag","True"
"马路","馬路","mǎ lù ","street  / road  / CL: 條｜条","True"
"参观","參觀","cān guān ","to look around  / to tour  / to visit","True"
"博物馆","博物館","bó wù guǎn ","museum","True"
"博","","bó ","extensive  / ample  / rich  / obtain  / aim  / to win  / to get  / plentiful  / to gamble","True"
"安排","","ān pái ","to arrange  / to plan  / to set up  / arrangements  / plans","True"
"活动","活動","huó dòng ","to exercise  / to move about  / to operate  / to use connections (personal influence)  / loose  / shaky  / active  / movable  / activity  / campaign  / maneuver  / behavior  / CL: 項｜项, 個｜个","True"
"表演","","biǎo yǎn ","play  / show  / performance  / exhibition  / to perform  / to act  / to demonstrate  / CL: 場｜场","True"
"海边","海邊","hǎi biān ","coast  / seaside  / seashore  / beach","True"
"活","","huó ","to live  / alive  / living  / work  / workmanship","True"
"演","","yǎn ","to develop  / to evolve  / to practice  / to perform  / to play  / to act","True"
"邮","郵","yóu ","post (office)  / mail","True"
"刚才","剛才","gāng cái <br />gāng cái ","just now  / a moment ago<br />(just) a moment ago","True"
"电子邮件","電子郵件","diàn zǐ yóu jiàn ","email  / CL: 封, 份","True"
"主要","","zhǔ yào ","main  / principal  / major  / primary","True"
"短信","","duǎn xìn ","text message  / SMS","True"
"关于","關於","guān yú ","pertaining to  / concerning  / with regard to  / about  / a matter of","True"
"主","","zhǔ ","owner  / master  / host  / individual or party concerned  / God  / Lord  / main  / to indicate or signify  / trump card (in card games)","True"
"登录","登錄","dēng lù ","to register  / to log in","True"
"密码","密碼","mì mǎ ","secret code  / ciphertext  / password  / PIN","True"
"信号","信號","xìn hào ","signal","True"
"登","","dēng ","to scale (a height)  / to ascend  / to mount  / to publish or record  / to enter (e.g. in a register)  / to press down with the foot  / to step or tread on  / to put on (shoes or trousers) (dialect)  / to be gathered and taken to the threshing ground (old)","True"
"密","","Mì <br />mì ","surname Mi  / name of an ancient state<br />secret  / confidential  / close  / thick  / dense","True"
"录","錄","Lù <br />lù ","surname Lu<br />diary  / record  / to hit  / to copy","True"
"段","","Duàn <br />duàn ","surname Duan<br />paragraph  / section  / segment  / stage (of a process)  / classifier for stories, periods of time, lengths of thread etc","True"
"其实","其實","qí shí ","actually  / in fact  / really","True"
"过去","過去","guò qù <br />guò qu ","(in the) past  / former  / previous  / to go over  / to pass by<br />(verb suffix)","True"
"谈","談","Tán <br />tán ","surname Tan<br />to speak  / to talk  / to converse  / to chat  / to discuss","True"
"实","實","shí ","real  / true  / honest  / really  / solid  / fruit  / seed  / definitely","True"
"同意","","tóng yì ","to agree  / to consent  / to approve","True"
"决定","決定","jué dìng ","to decide (to do something)  / to resolve  / decision  / CL: 個｜个, 項｜项 / certainly","True"
"根据","根據","gēn jù ","according to  / based on  / basis  / foundation  / CL: 個｜个","True"
"升职","升職","shēng zhí ","to get promoted (at work etc)  / promotion","True"
"根","","gēn ","root  / basis  / classifier for long slender objects, e.g. cigarettes, guitar strings  / CL: 條｜条 / radical (chemistry)","True"
"据","","jū <br />jù ","see 拮据<br />according to  / to act in accordance with  / to depend on  / to seize  / to occupy","True"
"升","","shēng ","to ascend  / to rise to the rank of  / to promote  / to hoist  / liter  / measure for dry grain equal to one-tenth dou 斗","True"
"职","職","zhí ","office  / duty","True"
"满意","滿意","mǎn yì ","satisfied  / pleased  / to one's satisfaction","True"
"认为","認為","rèn wéi ","to believe  / to think  / to consider  / to feel","True"
"出差","","chū chāi ","to go on an official or business trip","True"
"表现","表現","biǎo xiàn ","to show  / to show off  / to display  / to manifest  / expression  / manifestation  / show  / display  / performance (at work etc)  / behavior","True"
"满","滿","Mǎn <br />mǎn ","Manchu ethnic group<br />to fill  / full  / filled  / packed  / fully  / completely  / quite  / to reach the limit  / to satisfy  / satisfied  / contented","True"
"老板","老闆","Lǎo bǎn <br />lǎo bǎn ","Robam (brand)<br />boss  / business proprietor  / CL: 個｜个","True"
"麻烦","麻煩","má fan ","inconvenient  / troublesome  / annoying  / to trouble or bother sb  / to put sb to trouble","True"
"开会","開會","kāi huì ","to hold a meeting  / to attend a meeting","True"
"面试","面試","miàn shì ","to be interviewed (as a candidate)  / interview","True"
"烦","煩","fán ","to feel vexed  / to bother  / to trouble  / superfluous and confusing  / edgy","True"
"饼","餅","bǐng ","round flat cake  / cookie  / cake  / pastry  / CL: 張｜张","True"
"月亮","","yuè liang ","the moon","True"
"月饼","月餅","yuè bǐng ","mooncake (esp. for the Mid-Autumn Festival)","True"
"中秋节","中秋節","Zhōng qiū jié ","the Mid-Autumn Festival on 15th of 8th lunar month","True"
"圆","圓","yuán ","circle  / round  / circular  / spherical  / (of the moon) full  / unit of Chinese currency (Yuan)  / tactful  / to justify","True"
"恭喜","","gōng xǐ ","congratulations  / greetings","True"
"红包","紅包","hóng bāo ","money wrapped in red as a gift  / bonus payment  / kickback  / bribe","True"
"汤圆","湯圓","tāng yuán ","boiled balls of glutinous rice flour, eaten during the Lantern Festival","True"
"聚会","聚會","jù huì ","party  / gathering  / to meet  / to get together","True"
"发财","發財","fā cái ","to get rich","True"
"恭","","gōng ","respectful","True"
"聚","","jù ","to congregate  / to assemble  / to mass  / to gather together  / to amass  / to polymerize","True"
"财","財","cái ","money  / wealth  / riches  / property  / valuables","True"
"端午节","端午節","Duān wǔ jié ","Dragon Boat Festival (5th day of the 5th lunar month)","True"
"粽子","","zòng zi ","glutinous rice and choice of filling wrapped in leaves and boiled","True"
"划","","huá <br />huá <br />huà ","to row  / to paddle  / profitable  / worth (the effort)  / it pays (to do sth)<br />to cut  / to slash  / to scratch (cut into the surface of sth)  / to strike (a match)<br />to delimit  / to transfer  / to assign  / to plan  / to draw (a line)  / stroke of a Chinese character","True"
"龙舟","龍舟","lóng zhōu ","dragon boat  / imperial boat","True"
"端","","duān ","end  / extremity  / item  / port  / to hold sth level with both hands  / to carry  / regular","True"
"粽","","zòng ","rice dumplings wrapped in leaves","True"
"龙","龍","Lóng <br />lóng ","surname Long<br />dragon  / CL: 條｜条 / imperial","True"
"舟","","zhōu ","boat","True"
"珠","","zhū ","bead  / pearl  / CL: 粒, 顆｜颗","True"
"汤","湯","Tāng <br />shāng <br />tāng ","surname Tang<br />rushing current<br />soup  / hot or boiling water  / decoction of medicinal herbs  / water in which sth has been boiled","True"
"酸","","suān ","sour  / tart  / sick at heart  / grieved  / sore  / aching  / pedantic  / impractical  / an acid","True"
"珍","","zhēn ","precious thing  / treasure  / culinary delicacy  / rare  / valuable  / to value highly","True"
"珍珠奶茶","","zhēn zhū nǎi chá ","pearl milk tea  / tapioca milk tea  / bubble milk tea","True"
"酸辣汤","酸辣湯","suān là tāng ","hot and sour soup  / sour and spicy soup","True"
"北京烤鸭","北京烤鴨","Běi jīng kǎo yā ","Peking Duck","True"
"春卷","春捲","chūn juǎn ","egg roll  / spring roll","True"
"豆花","","dòu huā ","jellied tofu  / soft bean curd","True"
"烤","","kǎo ","to roast  / to bake  / to broil","True"
"鸭","鴨","yā ","duck  / CL: 隻｜只 / (slang) male prostitute","True"
"卷","","juǎn <br />juàn <br />juǎn ","to roll up  / roll  / classifier for small rolled things (wad of paper money, movie reel etc)<br />scroll  / book  / volume  / chapter  / examination paper  / classifier for books, paintings: volume, scroll<br />to roll (up)  / to sweep up  / to carry on  / roll","True"
"宫保鸡丁","宮保雞丁","gōng bǎo jī dīng ","Kung Pao Chicken  / spicy diced chicken","True"
"卤肉饭","","lǔ ròu fàn","Braised pork on rice","False"
"馒头","饅頭","mán tou ","steamed roll  / steamed bun  / steamed bread  / CL: 個｜个","True"
"保","","Bǎo <br />bǎo ","Bulgaria  / Bulgarian  / abbr. for 保加利亞｜保加利亚<br />to defend  / to protect  / to keep  / to guarantee  / to ensure","True"
"卤","滷","lǔ <br />lǔ ","to stew in soy sauce and spices<br />alkaline soil  / salt  / brine  / halogen (chemistry)  / crass  / stupid","True"
"馒","饅","mán ","steamed bread","True"
"丁","","Dīng <br />dīng ","surname Ding<br />fourth of the ten Heavenly Stems 十天干 / fourth in order  / letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc  / ancient Chinese compass point: 195°  / butyl  / cubes (of food)","True"
"豪","","háo ","grand  / heroic","True"
"宅","","zhái ","residence  / (coll.) to stay in at home  / to hang around at home","True"
"土","","Tǔ <br />tǔ ","Tu (ethnic group)  / surname Tu<br />earth  / dust  / clay  / local  / indigenous  / crude opium  / unsophisticated  / one of the eight ancient musical instruments 八音","True"
"土豪","","tǔ háo ","local tyrant  / local strong man  / (slang) nouveau riche","True"
"吃货","吃貨","chī huò ","chowhound  / foodie  / a good-for-nothing","True"
"宅男","","zhái nán ","a guy who stays at home all the time, typically spending a lot of time playing online games (derived from Japanese ""otaku"")","True"
"菜鸟","菜鳥","cài niǎo ","(coll.) sb new to a particular subject  / rookie  / beginner  / newbie","True"
"美图","","měi tú","","False"
"萌","","méng ","to sprout  / to bud  / to have a strong affection for (slang)  / adorable (loanword from Japanese 萌え moe, slang describing affection for a cute character)","True"
"自拍","","zì pāi ","to take a picture or video of oneself","True"
"囧","","jiǒng","variant of 冏 / used as emoticon (""smiley"") meaning embarrassed, sad :-(, depressed or frustrated ","False"
"美眉","","měi méi ","(coll.) pretty girl","True"
"高富帅","高富帥","gāo fù shuài ","""Mr Perfect"" (i.e. tall, rich and handsome) (Internet slang)","True"
"眉","","méi ","eyebrow  / upper margin","True"
"富","","Fù <br />fù ","surname Fu<br />rich  / abundant  / wealthy","True"
"微博","","wēi bó ","micro-blogging  / microblog","True"
"微信","","Wēi xìn ","Weixin or WeChat (mobile text and voice messaging service developed by Tencent 騰訊｜腾讯)","True"
"朋友圈","","Péng you quān ","Moments (social networking function of smartphone app WeChat 微信)","True"
